Quiz,HW,Participation,Final,Letter grade,Midterm
17.499999999999996,15.08333333,3.0,66.0,C,36.36363636
10.22222222222222,13.81666667,0.0,70.0,C,70.90909091
15.055555555555555,18.475,5.0,41.5,C,67.27272727
16.88888888888889,18.58333333,5.0,45.5,D,53.63636364
16.44444444444445,17.25833333,3.0,44.5,D,66.81818182
9.22222222222222,11.44166667,3.0,63.0,D,74.54545455
16.38888888888889,19.325,5.0,50.0,D,42.72727273
17.77777777777778,12.7,2.0,46.0,D,74.54545455
12.61111111111111,14.1,5.0,55.00000000000001,D,58.63636364
15.72222222222222,16.33333333,4.0,54.0,D,47.72727273
10.611111111111107,14.89166667,2.0,66.5,D,40.90909091
10.388888888888888,12.10833333,5.0,60.0,D,53.18181818
12.999999999999998,15.81666667,5.0,40.5,D,61.81818182
12.055555555555555,15.425,5.0,55.00000000000001,D,29.09090909
16.72222222222222,17.63333333,0.0,48.5,D,26.81818182
13.611111111111107,15.73333333,5.0,33.5,D,47.72727273
18.166666666666668,18.3,3.0,22.5,D,49.54545455
14.388888888888893,15.4,5.0,33.5,D,36.36363636
10.38888888888889,11.1,5.0,45.5,F,36.81818182
12.0,15.95833333,5.0,27.500000000000004,F,38.63636364
15.055555555555555,14.775,0.0,24.0,F,23.63636364
11.722222222222223,12.36666667,2.0,0.0,F,45.45454545
12.888888888888888,15.75833333,5.0,0.0,F,12.27272727
10.72222222222222,12.31666667,4.0,0.0,F,28.18181818
8.0,7.316666667,5.0,0.0,F,38.63636364
11.5,10.50833333,3.0,5.0,F,10.90909091
6.055555555555556,13.68333333,2.0,0.0,F,22.72727273
11.38888888888889,10.03333333,3.0,0.0,F,13.18181818
11.500000000000002,10.41666667,1.0,0.0,F,10.45454545
5.777777777777779,7.566666667,3.0,0.0,F,0.0
5.555555555555557,1.5,0.0,7.000000000000001,F,12.72727273
4.5,0.0,3.0,0.0,F,2.727272727
0.0,3.466666667,1.0,0.0,F,0.0
20.0,19.9,5.0,94.2,A,94.0
19.71428571,19.1,4.0,94.2,A,90.5
18.14285714,19.1,5.0,93.0,A,95.0
19.28571429,19.45,4.0,95.2,A,86.75
19.35714286,19.9,5.0,87.2,A,91.75
19.14285714,19.8,5.0,91.3,A-,88.75
19.71428571,19.95,4.0,88.5,A-,90.25
19.0,18.7,5.0,90.3,A-,89.75
18.4,18.55,5.0,91.8,A-,88.0
19.28571429,19.45,5.0,90.0,A-,82.25
18.2,19.65,5.0,84.8,A-,90.5
19.14285714,19.15,5.0,88.7,A-,81.25
17.28571429,18.85,5.0,89.8,B+,78.5
19.77142857,20.0,4.0,71.8,B+,91.75
18.4,19.45,4.0,82.4,B+,85.75
18.92857143,19.2,5.0,80.3,B,80.25
17.92857143,18.85,5.0,80.0,B,81.25
17.21428571,19.1,5.0,78.7,B,84.75
19.42857143,19.95,5.0,83.2,B,84.25
19.64285714,19.6,4.0,79.0,B,79.0
18.88571429,18.05,4.0,79.0,B,82.0
19.85714286,18.9,4.0,72.8,B,82.0
18.3,18.85,5.0,70.7,B,84.25
16.92857143,19.7,5.0,76.3,B,79.5
18.07142857,18.85,5.0,72.0,B,81.25
16.57142857,17.1,4.0,74.7,B-,91.0
18.38571429,20.0,5.0,68.7,B-,78.25
16.64285714,19.0,4.0,78.5,B-,75.0
16.71428571,18.45,4.0,81.2,B-,70.5
17.31428571,17.25,5.0,71.5,B-,80.75
18.35714286,19.6,5.0,76.5,C+,43.5
14.85714286,17.35,5.0,71.0,C+,72.25
17.64285714,19.05,4.0,59.0,C+,75.25
16.0,18.7,4.0,33.2,D,65.0
11.3,13.7,5.0,40.7,D,77.0
19.52857143,19.8,3.5,94.8,A,97.75
19.11428571,19.85,5.0,90.6,A,93.25
18.5,19.0,5.0,96.3,A,88.0
19.02142857,19.9,4.0,91.0,A,95.75
20.0,19.75,4.0,88.2,A,96.25
19.08571429,20.0,5.0,89.0,A,90.25
